,City,Covid Cases,,Oct Foreign visitor
102,Pathri,10140,,5895858
103,Sadabad,2449,,4150933
104,Talikota,2317,,851179
105,Sinnar,12716,,5895858
106,Mungeli,2686,,8564
107,Sedam,2241,,851179
108,Shikaripur,2579,,851179
109,Sumerpur,2183,,1972880
110,Sattur,2457,,6264661
111,Sugauli,2491,,1235285
112,Lumding,2120,,33070
113,Vandavasi,3910,,6264661
114,Titlagarh,2477,,89571
115,Uchgaon,4754,,5895858
116,Mokokchung,2385,,3716
117,Paschim Punropara,2667,,1991854
118,Sagwara,2300,,1972880
119,Ramganj Mandi,2202,,1972880
120,Tarakeswar,2431,,1991854
121,Mahalingapura,2805,,851179
122,Dharmanagar,2253,,46665
123,Mahemdabad,2164,,381095
124,Manendragarh,2778,,8564
125,Banaganipalli,2718,,318085
126,Uran,7851,,5895858
127,Tharamangalam,3294,,6264661
128,Tirukkoyilur,4041,,6264661
129,Pen,9923,,5895858
130,Mussoorie,1943,,141605
131,Makhdumpur,2554,,1235285
132,Maner Sharif,2526,,1235285
133,Oddanchatram,3025,,6264661
134,Palladam,8990,,6264661
135,Mundi,2650,,563486
136,Sitarganj,2592,,141605
137,Nabarangapur,2373,,89571
138,Mudalagi,2529,,851179
139,Samalkha,2470,,405359
140,Nepanagar,2121,,563486
141,Karjat,7548,,5895858
142,Ranavav,2560,,381095
143,Pedana,2401,,318085
144,Lakheri,2612,,1972880
145,Pasan,2361,,563486
146,Puttur,2341,,318085
147,Vadakkuvalliyur,3433,,6264661
148,Tirukalukundram,11624,,6264661
149,Muvattupuzha,3091,,1307152
150,Rasra,2202,,4150933
151,Udaipurwati,2517,,1972880
152,Manwath,11872,,5895858
153,Adoor,3027,,1307152
154,Uthamapalayam,3516,,6264661
155,Partur,4997,,5895858
156,Nahan,2255,,543084
157,Rajesultanpur,2459,,4150933
158,Ladwa,1990,,405359
159,Kotdwar,2012,,141605
160,Mankachar,2027,,33070
161,Nongstoin,2413,,10747
162,Nedumbassery,2901,,1307152
163,Losal,2141,,1972880
164,Ramngarh,2629,,1972880
165,Mavelikkara,2909,,1307152
166,Rawatsar,2017,,1972880
167,Rajakhera,1966,,1972880
168,Lar,2505,,4150933
169,Lal Gopalganj Nindaura,2345,,4150933
170,Muddebihal,2260,,851179
171,Sirsaganj,1869,,4150933
172,Shahpura,2244,,1972880
173,Surandai,8939,,6264661
174,Sangole,9138,,5895858
175,Pavagada,2467,,851179
176,Tharad,2222,,381095
177,Mansa,1956,,381095
178,Umargam,2319,,381095
179,Mavoor,3125,,1307152
180,Nalbari,2585,,33070
181,Talaja,2143,,381095
182,Malur,2340,,851179
183,Mangrulpir,7468,,5895858
184,Soro,2773,,89571
185,Shahpura,1997,,1972880
186,Vadnagar,2024,,381095
187,Chamba,2129,,141605
188,Raisinghnagar,2155,,1972880
189,Sindhagi,2550,,851179
190,Sanduru,2479,,851179
191,Sohna,2164,,405359
192,Manavadar,2162,,381095
193,Pihani,2379,,4150933
194,Safidon,2387,,405359
195,Risod,9605,,5895858
196,Rosera,2682,,1235285
197,Sankari,2959,,6264661
198,Malpura,2148,,1972880
199,Sonamukhi,3005,,1991854
200,Varandarappilly,2982,,1307152
201,"Shamsabad, Agra",2398,,4150933
202,Nokha,2468,,1235285
203,Pandua,2416,,1991854
204,Mainaguri,2243,,1991854
205,Afzalpur,2468,,851179
206,Bagepalli,2568,,851179
207,Shirur,10491,,5895858
208,Salaya,1838,,381095
209,Shenkottai,2510,,6264661
210,Pratapgarh,2326,,46665
211,Nagarkurnool,2232,,168612
212,Savner,9479,,5895858
213,Sasvad,6127,,5895858
214,Rudrapur,2287,,4150933
215,Soron,2379,,4150933
216,Sholingur,5358,,6264661
217,Pandharkaoda,14275,,5895858
218,Perumbavoor,2921,,1307152
219,Maddur,2568,,851179
220,Nadbai,2234,,1972880
221,Talode,4861,,5895858
222,Shrigonda,5760,,5895858
223,Madhugiri,2736,,851179
224,Tekkalakote,2616,,851179
225,Seoni-Malwa,2180,,563486
226,Shirdi,7122,,5895858
227,Suar,2259,,4150933
228,Terdal,2266,,851179
229,Raver,11009,,5895858
230,Tirupathur,9678,,6264661
231,Taraori,2061,,405359
232,Mukhed,6995,,5895858
233,Manachanallur,4251,,6264661
234,Jaynagar Majilpur,3053,,1991854
235,Rehli,2485,,563486
236,Sanchore,2625,,1972880
237,Rajura,8817,,5895858
238,Piro,2197,,1235285
239,Mudabidri,2447,,851179
240,Vadgaon Kasba,3727,,5895858
241,Nagar,2063,,1972880
242,Vijapur,2068,,381095
243,Viswanatham,3158,,6264661
244,Bajpur,2132,,141605
245,Polur,10403,,6264661
246,Panagudi,6220,,6264661
247,Manawar,2064,,563486
248,Pauri,2354,,141605
249,Samdhan,2518,,4150933
250,Pardi,2208,,381095
251,Rahatgarh,2193,,563486
252,Panagar,2469,,563486
253,Uthiramerur,10309,,6264661
254,Tirora,6844,,5895858
255,Rangiya,2150,,33070
256,Sahjanwa,2458,,4150933
257,Wara Seoni,2307,,563486
258,Magadi,2637,,851179
259,Rajgarh (Alwar),2618,,1972880
260,Rafiganj,2629,,1235285
261,Tarana,2436,,563486
262,Rampur Maniharan,2470,,4150933
263,Sheoganj,1983,,1972880
264,Raikot,2567,,324120
265,Sumerpur,2545,,4150933
266,Navalgund,2682,,851179
267,Shahganj,2184,,4150933
268,Marhaura,2315,,1235285
269,Tulsipur,2075,,4150933
270,Sadri,2556,,1972880
271,Thiruthuraipoondi,2671,,6264661
272,Shiggaon,2582,,851179
273,Pallapatti,8981,,6264661
274,Mahendragarh,1984,,405359
275,Sausar,2200,,563486
276,Ponneri,6913,,6264661
277,Mahad,4267,,5895858
278,Lohardaga,2354,,224385
279,Aluva,3093,,1307152
280,Tirwaganj,1979,,4150933
281,Margherita,2158,,33070
282,Tehri,2130,,141605
283,Sundarnagar,2262,,543084
284,Rajgarh,2479,,563486
285,Mangaldoi,2123,,33070
286,Renigunta,1943,,318085
287,Longowal,2299,,324120
288,Ratia,2747,,405359
289,Lalgudi,9287,,6264661
290,Shrirangapattana,2553,,851179
291,Niwari,2185,,563486
292,Natham,3111,,6264661
293,Unnamalaikadai,5024,,6264661
294,Purquazi,2555,,4150933
295,"Shamsabad, Farrukhabad",2314,,4150933
296,Mirganj,2651,,1235285
297,Todaraisingh,2279,,1972880
298,Chengannur,3011,,1307152
299,Warhapur,2479,,4150933
300,Rajam,2145,,318085
301,Urmar Tanda,2118,,324120
302,Lonar,4142,,5895858
303,Powayan,2535,,4150933
304,vasudevanallur,6137,,6264661
305,Palampur,2199,,543084
306,P.N.Patti,2873,,6264661
307,Srisailam (RFC) Township,2269,,318085
308,Sindagi,2678,,851179
309,Vaikom,3022,,1307152
310,Sandi,2185,,4150933
311,Malda,2781,,1991854
312,Tharangambadi,4491,,6264661
313,Sakaleshapura,2237,,851179
314,Malkangiri,2505,,89571
315,Rapar,2532,,381095
316,Mauganj,2253,,563486
317,Todabhim,2344,,1972880
318,Srinivaspur,2360,,851179
319,Murliganj,2275,,1235285
320,Reengus,2069,,1972880
321,Sawantwadi,3898,,5895858
322,Tittakudi,11081,,6264661
323,Lilong,2433,,4373
324,Rajaldesar,2329,,1972880
325,Pathardi,4019,,5895858
326,Pacode,6882,,6264661
327,Achhnera,2000,,4150933
328,Naraura,2553,,4150933
329,Nakur,2064,,4150933
330,Palai,3114,,1307152
331,"Morinda, India",1907,,324120
332,Manasa,2121,,563486
333,Nainpur,2132,,563486
334,Sahaspur,2340,,4150933
335,Pauni,3916,,5895858
336,Prithvipur,2472,,563486
337,Silapathar,2189,,33070
338,Ramtek,3910,,5895858
339,Songadh,2224,,381095
340,Safipur,1861,,4150933
341,Sohagpur,2373,,563486
342,Mul,5845,,5895858
343,Sadulshahar,1852,,1972880
344,Phillaur,2380,,324120
345,Sambhar,2541,,1972880
346,Prantij,2076,,1972880
347,Nagla,2239,,141605
348,Pattran,2599,,324120
349,Mount Abu,2534,,1972880
350,Reoti,2534,,4150933
351,Tenu dam-cum-Kathhara,2111,,224385
352,Panchla,2153,,1991854
353,Pasighat,2562,,7643
354,Motipur,2635,,1235285
355,O' Valley,3226,,6264661
356,Raghunathpur,2624,,1991854
357,Suriyampalayam,4052,,6264661
358,Qadian,2593,,324120
359,Silvassa,2050,,2416
360,Nowrozabad (Khodargama),2203,,563486
361,Mangrol,2343,,1972880
362,Soyagaon,15348,,5895858
363,Sujanpur,2469,,324120
364,Manihari,2313,,1235285
365,Sikanderpur,2057,,4150933
366,Laksar,2174,,141605
367,Mangalvedhe,3409,,5895858
368,Ron,2422,,851179
369,Phulera,2271,,1972880
370,Sholavandan,10390,,6264661
371,Saidpur,2447,,4150933
372,Shamgarh,2569,,563486
373,Thammampatti,13810,,6264661
374,Maharajpur,2502,,563486
375,Chamoli Gopeshwar,2808,,141605
376,Multai,2271,,563486
377,Mukerian,2269,,324120
378,Sirsi,2179,,4150933
379,Purwa,2119,,4150933
380,Sheohar,2175,,1235285
381,Namagiripettai,3595,,6264661
382,Parasi,2537,,4150933
383,Lathi,2339,,381095
384,Lalganj,2188,,4150933
385,Narkhed,14367,,5895858
386,Mathabhanga,2907,,1991854
387,Shendurjana,4882,,5895858
388,Peravurani,3203,,6264661
389,Mariani,2180,,33070
390,Phulpur,2528,,4150933
391,Rania,2213,,405359
392,Pali,2035,,1972880
393,Pachore,2309,,563486
394,Parangipettai,4459,,6264661
395,Pudupattinam,3771,,6264661
396,Panniyannur,3041,,1307152
397,Maharajganj,2479,,1235285
398,Rau,2270,,563486
399,Monoharpur,2204,,1991854
400,Mandawa,2173,,1972880
401,Marigaon,2346,,33070
402,Pallikonda,12779,,6264661
403,Pindwara,2234,,1972880
404,Shishgarh,2371,,4150933
405,Charthaval,2467,,4150933
406,Patur,12347,,5895858
407,Mayang Imphal,2264,,4373
408,Mhowgaon,2572,,563486
409,Guruvayoor,3156,,1307152
410,Mhaswad,3429,,5895858
411,Sahawar,2500,,4150933
412,Sivagiri,12951,,6264661
413,Mundargi,2309,,851179
414,Punjaipugalur,3735,,6264661
415,Kailasahar,2349,,46665
416,Samthar,2294,,4150933
417,Sakti,2416,,8564
418,Silao,2110,,1235285
419,Mandalgarh,2621,,1972880
420,Loha,4833,,5895858
421,"Srinagar, Uttarakhand",2190,,141605
422,Pukhrayan,2062,,4150933
423,Padmanabhapuram,3952,,6264661
424,Belonia,2444,,46665
425,Bhusawar,2327,,1972880
426,Saiha,2844,,1081
427,Inkollu,2275,,318085
428,Srirampore,2249,,1991854
429,Talwara,2636,,324120
430,Gadarpur,2313,,141605
431,Sarsawa,2535,,4150933
432,Puthuppally,2901,,1307152
433,Khowai,2852,,46665
434,Landhaura,2290,,141605
435,Tanakpur,2324,,141605
436,Uttarkashi,2135,,141605
437,Vijaypur,2178,,563486
438,Takhatgarh,2081,,1972880
439,Joshimath,2005,,141605
440,Owk,2319,,318085
441,Khatima,2077,,141605
442,Thirupuvanam,4387,,6264661
443,Adra,2364,,1991854
444,Piriyapatna,2743,,851179
445,Obra,2234,,4150933
446,Vikasnagar,2347,,141605
447,Amaravathi,2249,,318085
448,Khanda,2277,,405359
449,Mahua Kheraganj,2153,,141605
450,Talbehat,2204,,4150933
451,Adalaj,2138,,381095
452,Nandgaon,10841,,5895858
453,Bagha Kusmar,2160,,1235285
454,Dineshpur,1970,,141605
455,Jhabrera,2192,,141605
456,Kela Khera,2260,,141605
457,Muni Ki Reti,2181,,141605
458,Chhapra,1981,,381095
459,Panamattom,2794,,1307152
460,Gavaravaram,2669,,318085
461,Sultanpur,1972,,141605
462,Herbertpur,2789,,141605
463,Rudraprayag,2050,,141605
464,Niwai,2245,,1972880
465,Bageshwar,2007,,141605
466,Gochar,1994,,141605
467,Doiwala,2271,,141605
468,Tarbha,2713,,89571
469,Karnaprayag,2148,,141605
470,Sanivarapupeta,1958,,318085
471,Lohaghat,1970,,141605
472,Bhimtal,2323,,141605
473,Lalkuan,2407,,141605
474,Kaladhungi,2092,,141605
475,Naura,2033,,324120
476,Mahua Dabra Haripura,2311,,141605
477,Chandpara,2841,,1991854
478,Dharchula,2142,,141605
479,Adyar,2605,,851179
480,Narsinghgarh,2118,,563486
481,Barkot,2717,,141605
482,Didihat,2144,,141605
483,Satrampadu,2751,,318085
484,Warud,10679,,5895858
485,Asarganj,2666,,1235285
486,Bhowali,2192,,141605
487,Shaktigarh,2407,,141605
488,Narendranagar,1986,,141605
489,Champawat,2028,,141605
490,Sarsod,2038,,405359
491,Bhaiseena,2073,,1972880
492,Dwarahat,2139,,141605
493,Badrinath,2764,,141605
494,Dogadda,2155,,141605
495,Devprayag,2802,,141605
496,Nandaprayag,2260,,141605
497,Kirtinagar,2319,,141605
498,Kedarnath,1997,,141605
499,Gangotri,2256,,141605
500,Kumarganj,2008,,4150933
